City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
316,Ashtian,IR,34.5217,50.0019,24.22,60,2,2.06,clear sky
317,Praia,CV,14.9215,-23.5087,70.34,64,40,14.97,scattered clouds
318,Dakar,SN,14.6937,-17.4441,70.68,70,100,18.68,overcast clouds
319,San Juan,AR,-31.5375,-68.5364,86.09,35,9,12.08,clear sky
320,Vila Franca Do Campo,PT,37.7167,-25.4333,58.19,81,46,9.22,scattered clouds
321,Saldanha,ZA,-33.0117,17.9442,63.95,82,0,19.44,clear sky
322,Berlevag,NO,70.8578,29.0864,28.76,59,100,9.78,overcast clouds
323,Kaka,TM,37.3482,59.6143,40.6,71,81,5.26,broken clouds
324,Starobaltachevo,RU,56.0013,55.9213,9.55,92,99,5.84,overcast clouds
325,Manaure,CO,11.7751,-72.4445,79.61,69,44,12.21,scattered clouds
326,San Vicente,AR,-26.6167,-54.1333,67.66,79,94,5.48,overcast clouds
327,Luchegorsk,RU,46.4764,134.2569,-10.88,99,67,4.43,broken clouds
328,Parana,AR,-31.732,-60.5238,73.45,68,0,6.2,clear sky
329,Andenes,NO,69.3143,16.1194,15.78,79,40,9.22,scattered clouds
330,Yumen,CN,40.2833,97.2,18.43,43,2,4.76,clear sky
331,Dunedin,NZ,-45.8742,170.5036,65.43,64,100,4.07,overcast clouds
332,Svetlogorsk,BY,52.6333,29.7333,32.32,96,100,15.64,light snow
333,Ratnagiri,IN,16.9833,73.3,70.99,44,6,7.47,clear sky
334,Balclutha,NZ,-46.2339,169.75,63.61,74,90,0.98,overcast clouds
335,Gari,RU,59.4307,62.3497,-5.46,99,41,4.7,scattered clouds
336,Esperance,AU,-33.8667,121.9,64.67,73,0,14.47,clear sky
337,Si Satchanalai,TH,17.5169,99.7598,68.85,49,29,3.02,scattered clouds
338,Fare,PF,-16.7,-151.0167,81.46,74,2,16.82,clear sky
339,Cabo San Lucas,MX,22.8909,-109.9124,82.62,60,5,8.01,clear sky
340,Olean,US,42.0776,-78.4297,20.08,85,100,10.36,overcast clouds
